Tobacco,CPES,,,,,,,,,,,,,,,,,,,,,
V04594: Smoked more than 100 cigarettes in lifetime,V04594,,,,,,,,,,,,,,,,,,,,,
"V04596: Ever smoke cigarette/cigar/pipe, even single puff",V04596,,,,,,,,,,,,,,,,,,,,,
V04595: Age began smoking,V04595,,,,,,,,,,,,,,,,,,,,,
V09353: Was it before your teens,V09353,,,,,,,,,,,,,,,,,,,,,
V09354: Was it before your twenties,V09354,,,,,,,,,,,,,,,,,,,,,
V04597: Currently smoke,V04597,,,,,,,,,,,,,,,,,,,,,
V04600: Ever smoke at least 1/week for 2 months or more,V04600,,,,,,,,,,,,,,,,,,,,,
"V09355: Current smoker, how old the very first time",V09355,,,,,,,,,,,,,,,,,,,,,
"V09356: Current smoker, was it before your teens",V09356,,,,,,,,,,,,,,,,,,,,,
"V09357: Current smoker, was it before your twenties",V09357,,,,,,,,,,,,,,,,,,,,,
V04601: # cigarettes smoked per day,V04601,,,,,,,,,,,,,,,,,,,,,
"V09361: How old, first time, once a week for 2 months",V09361,,,,,,,,,,,,,,,,,,,,,
"V09364: How old, first time, every day for 2 months",V09364,,,,,,,,,,,,,,,,,,,,,
V09362: Was it before your teens,V09362,,,,,,,,,,,,,,,,,,,,,
V09363: Was it before your twenties,V09363,,,,,,,,,,,,,,,,,,,,,
V04605: How soon after waking you smoke first cigarette,V04605,,,,,,,,,,,,,,,,,,,,,
V04608: Hours or minutes after waking smoked 1st cigarette,V04608,,,,,,,,,,,,,,,,,,,,,
V04609: Smoked most freq-# cigarettes smoked per day,V04609,,,,,,,,,,,,,,,,,,,,,
V04611: Past 12 months-# days smoked at least 1 cigarette/cigar/pipe,V04611,,,,,,,,,,,,,,,,,,,,,
V04612: Days smoked in past year-# of cigarrettes per day,V04612,,,,,,,,,,,,,,,,,,,,,
V04613: Days smoked in past year-# of cigars per day,V04613,,,,,,,,,,,,,,,,,,,,,
V04614: Days smoked in past year-# of pipes per day,V04614,,,,,,,,,,,,,,,,,,,,,
V04616: Year(s) smoked freq-# days at least 1 cigarette/cigar/pipe,V04616,,,,,,,,,,,,,,,,,,,,,
V04617: Year(s) smoked freq-# cigarette/cigar/pipe per day,V04617,,,,,,,,,,,,,,,,,,,,,
V04618: Year(s) smoked freq-# cigars smoked per day,V04618,,,,,,,,,,,,,,,,,,,,,
V04619: Year(s) smoked freq-# pipes smoked per day,V04619,,,,,,,,,,,,,,,,,,,,,
V04621: Ever had irresistable desire to smoke that couldn't think of else,V04621,,,,,,,,,,,,,,,,,,,,,
V04622: Developed physical tolerance over time so no negative effects,V04622,,,,,,,,,,,,,,,,,,,,,
V04623: Exp physical symptoms when cut down/stop smoking,V04623,,,,,,,,,,,,,,,,,,,,,
V04624: Exp emotional symptoms when cut down/stop smoking,V04624,,,,,,,,,,,,,,,,,,,,,
V04625: Smoked to avoid physical/emotional symptoms,V04625,,,,,,,,,,,,,,,,,,,,,
V04626: Smoked even though promised self not to,V04626,,,,,,,,,,,,,,,,,,,,,
V04627: Smoked more frequently/days in row than intended,V04627,,,,,,,,,,,,,,,,,,,,,
V04628: Tried to cut down/stop smoking and unable to do so,V04628,,,,,,,,,,,,,,,,,,,,,
V04629: Chain smoked for several days or more,V04629,,,,,,,,,,,,,,,,,,,,,
V04630: Reduced/gave up important activities for month or more,V04630,,,,,,,,,,,,,,,,,,,,,
V04631: Tobacco ever caused physical problems,V04631,,,,,,,,,,,,,,,,,,,,,
V04632: Continue smoking regarless of physical problems,V04632,,,,,,,,,,,,,,,,,,,,,
V04633: Tobacco ever caused emotional problems,V04633,,,,,,,,,,,,,,,,,,,,,
V04634: Continue smoking regardless of emotional problems,V04634,,,,,,,,,,,,,,,,,,,,,
V04637: Age of very 1st smoking related problems,V04637,,,,,,,,,,,,,,,,,,,,,
"V09367: How old, first time, any problem",V09367,,,,,,,,,,,,,,,,,,,,,
V09368: Was it before your teens,V09368,,,,,,,,,,,,,,,,,,,,,
V09369: Was it before your twenties,V09369,,,,,,,,,,,,,,,,,,,,,
V04639: Recent time of smoking related problems,V04639,,,,,,,,,,,,,,,,,,,,,
"V09370: How old, last time, any problem",V09370,,,,,,,,,,,,,,,,,,,,,
V09371: Was it before your teens,V09371,,,,,,,,,,,,,,,,,,,,,
V09372: Was it before your twenties,V09372,,,,,,,,,,,,,,,,,,,,,
V04641: # different years ever had at least 1 smoking problem,V04641,,,,,,,,,,,,,,,,,,,,,
