DX Alcohol Dependence,CPES,,,,,,,,,,,,,,,,,,,,,,,,
V08312: ICD Alcohol Dependence (30 day),V08312,,,,,,,,,,,,,,,,,,,,,,,,
V08311: ICD Alcohol Dependence (12 month),V08311,,,,,,,,,,,,,,,,,,,,,,,,
V08515: ICD Alcohol Dependence (Lifetime),V08515,,,,,,,,,,,,,,,,,,,,,,,,
V07342: ICD Alcohol Dependence Onset,V07342,,,,,,,,,,,,,,,,,,,,,,,,
V07345: ICD Alcohol Dependence Recency,V07345,,,,,,,,,,,,,,,,,,,,,,,,
V07522: DSM-IV Alcohol Dependence (30 day),V07522,,,,,,,,,,,,,,,,,,,,,,,,
V07521: DSM-IV Alcohol Dependence (12 month),V07521,,,,,,,,,,,,,,,,,,,,,,,,
V07833: DSM-IV Alcohol Dependence (Lifetime),V07833,,,,,,,,,,,,,,,,,,,,,,,,
V07341: DSM-IV Alcohol Dependence Onset,V07341,,,,,,,,,,,,,,,,,,,,,,,,
V07343: DSM-IV Alcohol Dependence Recency,V07343,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
