Eating_Disorder,CPES,,,,,,,,,,,,,,,,,,,,,
V04657: Ever strong fear/concern about being too overweight,V04657,,,,,,,,,,,,,,,,,,,,,
V04658: Had strong worry/fear at time when weighed below average,V04658,,,,,,,,,,,,,,,,,,,,,
V04665: Afraid of gaining weight when weighed least,V04665,,,,,,,,,,,,,,,,,,,,,
V04666: Do things like dieting or exercise to keep weight low,V04666,,,,,,,,,,,,,,,,,,,,,
V04668: Weighed least on purpose-stopped having periods for 3+ mths,V04668,,,,,,,,,,,,,,,,,,,,,
V04669: Feel like heavier than should have been/wanted to be,V04669,,,,,,,,,,,,,,,,,,,,,
V04671: Self-esteem/confidence depended on thinness,V04671,,,,,,,,,,,,,,,,,,,,,
V04679: # different years at lowest weight plus other problems,V04679,,,,,,,,,,,,,,,,,,,,,
V04681: How recently at lowest weight and have problems ?,V04681,,,,,,,,,,,,,,,,,,,,,
V04682: Age last at lowest weight,V04682,,,,,,,,,,,,,,,,,,,,,
V04683: Eating binges at least 2 times/week for several months,V04683,,,,,,,,,,,,,,,,,,,,,
V04684: During binges- eat much more quickly than usual,V04684,,,,,,,,,,,,,,,,,,,,,
V04685: During binges- eat until uncomfortably full,V04685,,,,,,,,,,,,,,,,,,,,,
V04686: During binges- continue to eat even when don't feel hungry,V04686,,,,,,,,,,,,,,,,,,,,,
V04687: During binges- eat alone because embarrassed by quantity,V04687,,,,,,,,,,,,,,,,,,,,,
V04688: During or after binges- feel guilty/upset/depressed after binged,V04688,,,,,,,,,,,,,,,,,,,,,
V04689: Around time of binging-afraid you would gain weight,V04689,,,,,,,,,,,,,,,,,,,,,
V04690: Felt like self-esteem/conf depended on weight/body shape,V04690,,,,,,,,,,,,,,,,,,,,,
V04691: Worry about effect of binge on your health and body,V04691,,,,,,,,,,,,,,,,,,,,,
V04692: Often upset that eating out of control during and after binges,V04692,,,,,,,,,,,,,,,,,,,,,
V04701: How recently binged 2 times a week,V04701,,,,,,,,,,,,,,,,,,,,,
V04703: Fast/liquid diet for 8 hours or longer to control weight,V04703,,,,,,,,,,,,,,,,,,,,,
V04704: After binging-fast/liquid diet for 8+ hours to control weight,V04704,,,,,,,,,,,,,,,,,,,,,
V04705: Took water pills/diuretics/weight control meds to control weight,V04705,,,,,,,,,,,,,,,,,,,,,
V04706: Make yourself vomit to control weight,V04706,,,,,,,,,,,,,,,,,,,,,
V04707: Used laxatives or enemas to control weight,V04707,,,,,,,,,,,,,,,,,,,,,
V04708: Exercise excessively to control weight,V04708,,,,,,,,,,,,,,,,,,,,,
V04709: Chew and then spit out food to control weight,V04709,,,,,,,,,,,,,,,,,,,,,
V04711: Used weight control method 2 times/week for 3+ mths,V04711,,,,,,,,,,,,,,,,,,,,,
V04716: 1st used weight control method for 3+ mths before 20,V04716,,,,,,,,,,,,,,,,,,,,,
V04719: How recently did you use weight control strategy,V04719,,,,,,,,,,,,,,,,,,,,,
V04720: Age last used weight control strategy,V04720,,,,,,,,,,,,,,,,,,,,,
V04724: Worst month past yr-eating/wgt interf with chores at home,V04724,,,,,,,,,,,,,,,,,,,,,
V04726: Worst month past yr-eating/wgt interfere with work/school,V04726,,,,,,,,,,,,,,,,,,,,,
V04729: Worst month past yr-eating/wgt interf w/ family relations,V04729,,,,,,,,,,,,,,,,,,,,,
V04728: Worst month past yr-eating/wgt interf w/ form/maint relations,V04728,,,,,,,,,,,,,,,,,,,,,
V04730: Worst month past yr-eating/wgt interfere with social life,V04730,,,,,,,,,,,,,,,,,,,,,
V04732: # of days in past year unable to work/acts due to eating probs,V04732,,,,,,,,,,,,,,,,,,,,,
V04733: Talked to med doctor or other prof about problems w/ eat/wgt,V04733,,,,,,,,,,,,,,,,,,,,,
V04734: Talked to professional about probs w/ eat/wgt in past 12 mths,V04734,,,,,,,,,,,,,,,,,,,,,
V04735: Age 1st saw doctor for eating problems,V04735,,,,,,,,,,,,,,,,,,,,,
V04736: Ever in life talked to professional about problems w/ eat/wgt,V04736,,,,,,,,,,,,,,,,,,,,,
V04737: Tried to get professional help for probs w/ eating/weight,V04737,,,,,,,,,,,,,,,,,,,,,
V04740: 1st time saw professional about eating/weight problem,V04740,,,,,,,,,,,,,,,,,,,,,
V04741: Received helpful/effective treatment for eating/weight probs,V04741,,,,,,,,,,,,,,,,,,,,,
V04745: Receive prof treatment for eating/weight probin past yr,V04745,,,,,,,,,,,,,,,,,,,,,
V04746: Talk to psychiatrist about eating/weight problem,V04746,,,,,,,,,,,,,,,,,,,,,
V04747: Talk to other mental health prof about eating/weight problem,V04747,,,,,,,,,,,,,,,,,,,,,
V04748: Talk to family doctor about eating/weight problem,V04748,,,,,,,,,,,,,,,,,,,,,
V04749: Talk to other medical doctor about eating/weight problem,V04749,,,,,,,,,,,,,,,,,,,,,
V04750: Talk to other health prof about eating/weight problem,V04750,,,,,,,,,,,,,,,,,,,,,
V04751: Talk to religious/spiritual advisor about eating/weight problem,V04751,,,,,,,,,,,,,,,,,,,,,
V04752: Talk to other healer about eating/weight problem,V04752,,,,,,,,,,,,,,,,,,,,,
V04753: Professional was helpful,V04753,,,,,,,,,,,,,,,,,,,,,
V04754: Treatment received for eating/weight prob-1st mention,V04754,,,,,,,,,,,,,,,,,,,,,
V04755: Treatment received for eating/weight prob-2nd mention,V04755,,,,,,,,,,,,,,,,,,,,,
V04756: Treatment received for eating/weight prob-3rd mention,V04756,,,,,,,,,,,,,,,,,,,,,
V04759: Ever hospitalized overnight for eating/weight problem,V04759,,,,,,,,,,,,,,,,,,,,,
V04760: Age 1st hospitalized overnight for eating/weight problem,V04760,,,,,,,,,,,,,,,,,,,,,
V04761: # times hospitalized overnight for eating/weight problem,V04761,,,,,,,,,,,,,,,,,,,,,
V04762: Received help from fam/friends/acquaint for eating/wgt prob,V04762,,,,,,,,,,,,,,,,,,,,,
V04763: Tried to get help from fam/friends/acquaint for eating/wgt prob,V04763,,,,,,,,,,,,,,,,,,,,,
V09198: Why not eating dis help from fam/friends-1st mention,V09198,,,,,,,,,,,,,,,,,,,,,
V09199: Why not eating dis help from fam/friends-2nd mention,V09199,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
