Personality ,CPES,,,,,,,,,,,,,,,,,,,,,,,,
V03221: Never met person didn't like,V03221,,,,,,,,,,,,,,,,,,,,,,,,
V03223: Have always told the truth,V03223,,,,,,,,,,,,,,,,,,,,,,,,
V03224: I always win at games,V03224,,,,,,,,,,,,,,,,,,,,,,,,
V03225: Have never been bored,V03225,,,,,,,,,,,,,,,,,,,,,,,,
V03226: Never get lost even in unfamiliar place,V03226,,,,,,,,,,,,,,,,,,,,,,,,
V03227: Never annoyed when others cut ahead in line,V03227,,,,,,,,,,,,,,,,,,,,,,,,
V03228: Table manners at home as good as in restaurant,V03228,,,,,,,,,,,,,,,,,,,,,,,,
V03229: Have never lost anything,V03229,,,,,,,,,,,,,,,,,,,,,,,,
"V03230: Regardless of temperature, always comfortable",V03230,,,,,,,,,,,,,,,,,,,,,,,,
V03231: Not bothered by someone taking advantage of me,V03231,,,,,,,,,,,,,,,,,,,,,,,,
V03232: Show my feelings for everyone to see,V03232,,,,,,,,,,,,,,,,,,,,,,,,
V03233: Get in intense relationships that don't last,V03233,,,,,,,,,,,,,,,,,,,,,,,,
V03234: Often feel empty inside,V03234,,,,,,,,,,,,,,,,,,,,,,,,
V03235: I'm very moody,V03235,,,,,,,,,,,,,,,,,,,,,,,,
V03236: Giiving into urges gets me in trouble,V03236,,,,,,,,,,,,,,,,,,,,,,,,
V03237: Have tantrums/angry outbursts,V03237,,,,,,,,,,,,,,,,,,,,,,,,
"V03238: When under stress, things around don't seem real",V03238,,,,,,,,,,,,,,,,,,,,,,,,
V03239: Go to extremes to keep people from leaving me,V03239,,,,,,,,,,,,,,,,,,,,,,,,
V03240: Can't decide what kind of person I want to be,V03240,,,,,,,,,,,,,,,,,,,,,,,,
V03241: Never been arrested,V03241,,,,,,,,,,,,,,,,,,,,,,,,
V03242: Done things that could get person arrested,V03242,,,,,,,,,,,,,,,,,,,,,,,,
V03243: Feel bad when hurt or upset someone,V03243,,,,,,,,,,,,,,,,,,,,,,,,
"V03244: Refused to hold job, even when expected",V03244,,,,,,,,,,,,,,,,,,,,,,,,
V03245: Will lie/con to serve my purpose,V03245,,,,,,,,,,,,,,,,,,,,,,,,
V03246: Lose temper and get in physical fights,V03246,,,,,,,,,,,,,,,,,,,,,,,,
